date,sst
2017-07-01,30.33974838256836
2017-08-01,30.149816513061523
2017-09-01,30.57964515686035
2017-10-01,30.721084594726562
2017-11-01,30.415128707885742
2017-12-01,29.662464141845703
2018-01-01,28.687606811523438
2018-02-01,28.701614379882812
2018-03-01,29.52829360961914
2018-04-01,30.38427734375
2018-05-01,31.347387313842773
2018-06-01,31.34693145751953
2018-07-01,30.222339630126953
2018-08-01,30.08576011657715
2018-09-01,30.179079055786133
2018-10-01,30.697416305541992
2018-11-01,29.915199279785156
2018-12-01,29.688257217407227
2019-01-01,29.56616973876953
2019-02-01,29.399869918823242
2019-03-01,30.426332473754883
2019-04-01,31.275848388671875
2019-05-01,31.683258056640625
2019-06-01,30.641929626464844
2019-07-01,30.539134979248047
2019-08-01,30.387548446655273
2019-09-01,30.041728973388672
2019-10-01,30.587509155273438
2019-11-01,30.80933380126953
2019-12-01,28.345775604248047
